Generation;Year;Odometer;CarType;Color;EngineVolume;Horsepower;OilType;Box;Drive;Wheel;State;Customs;CarClass;NumberTransmissions;FrontSuspensionType;RearSuspensionType;FrontBrakes;RearBrakes;MaxSpeed;AccelerationTo100;FuelGrade;TypeSupercharger;NumberCylinders;ValvesPerCylinder;Price
VII (XV50);2012;153750;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен, нет птс;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1490000
VIII (XV70);2021;30000;седан;чёрный;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;3000000
VII (XV50) Рестайлинг;2016;112483;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2395000
VI (XV40);2009;263705;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;900000
VIII (XV70);2018;218000;седан;чёрный;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;220;7.7;аи-95;нет;6;4;2599000
VIII (XV70);2020;129700;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.9;аи-95;нет;4;4;2500000
VII (XV50) Рестайлинг;2015;159131;седан;чёрный;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;7.1;аи-95;нет;6;4;2170000
VII (XV50);2011;220000;седан;серый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1550000
VIII (XV70) Рестайлинг;2022;30000;седан;серый;3.5;301;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;216;6.0;аи-95;нет;6;4;3600000
VIII (XV70);2018;530000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.9;аи-95;нет;4;4;1800000
VII (XV50);2012;195000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1535000
VIII (XV70);2021;167000;седан;чёрный;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;220;7.7;аи-95;нет;6;4;3250000
VI (XV40);2008;288336;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;1300000
VII (XV50);2014;257000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1550000
VIII (XV70);2019;45000;седан;белый;2.5;203;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;8.5;аи-95;нет;4;4;2080000
VIII (XV70);2019;72100;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.9;аи-95;нет;4;4;3200000
VII (XV50) Рестайлинг;2016;160000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2150000
VII (XV50);2013;171000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1950000
VII (XV50) Рестайлинг 2;2017;292000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2070000
VII (XV50) Рестайлинг;2016;206000;седан;серебристый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2499000
V (XV30) Рестайлинг;2004;230000;седан;серый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;10.6;аи-95;нет;4;4;600000
VIII (XV70) Рестайлинг;2021;48000;седан;чёрный;2.5;200;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-92;нет;4;4;3800000
VII (XV50) Рестайлинг;2015;168000;седан;белый;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;7.1;аи-95;нет;6;4;2199999
VIII (XV70) Рестайлинг;2021;160000;седан;чёрный;2.5;200;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-92;нет;4;4;2900000
VII (XV50) Рестайлинг;2015;166551;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2000000
V (XV30) Рестайлинг;2005;180000;седан;золотистый;2.4;159;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;205;9.3;аи-92;нет;4;4;600000
V (XV30);2001;95000;седан;белый;2.4;159;бензин;автоматическая;полный;правый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;205;9.3;аи-92;нет;4;4;950000
VII (XV50);2014;225341;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1799000
VII (XV50) Рестайлинг;2016;64000;седан;чёрный;2.5;181;бензин;автоматическая;передний;правый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2800000
VIII (XV70) Рестайлинг;2021;35985;седан;белый;2.0;150;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.5;аи-92;нет;4;4;2960000
VI (XV40);2008;200000;седан;чёрный;3.5;277;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;230;6.8;аи-95;нет;6;4;850000
VII (XV50) Рестайлинг;2015;207052;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2100000
VIII (XV70);2018;83905;седан;красный;2.5;206;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;9.0;аи-95;нет;4;4;1581086
VII (XV50) Рестайлинг 2;2017;150000;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;10.4;аи-95;нет;4;4;1750000
V (XV30);2002;100000;седан;серый;2.4;159;бензин;автоматическая;полный;правый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;205;9.3;аи-92;нет;4;4;750000
VII (XV50);2013;160000;седан;серый;2.0;148;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;190;12.5;аи-95;нет;4;4;1450000
V (XV30) Рестайлинг;2005;280000;седан;серебристый;2.4;159;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;205;9.3;аи-92;нет;4;4;620000
VII (XV50);2012;168000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1870000
VI (XV40) Рестайлинг;2009;350000;седан;серый;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;800000
VII (XV50);2014;243000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1700000
